IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,43032,10.215.173.2,53,10359,APKPure,com.apkpure.aegon,DNS,Closed,report.apkpure.net,64,91,1,1,2025-09-13T21:06:26.563-05:00,2025-09-13T21:06:26.633-05:00,
17,10.215.173.1,38779,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,118,1,1,2025-09-13T21:06:26.582-05:00,2025-09-13T21:06:26.639-05:00,
17,10.215.173.1,48022,10.215.173.2,53,10359,APKPure,com.apkpure.aegon,DNS,Closed,http___vibeaconstr.onezapp.com_8080_analytics_upload,98,0,1,0,2025-09-13T21:06:26.620-05:00,2025-09-13T21:06:26.620-05:00,
17,10.215.173.1,48804,10.215.173.2,53,10376,CCleaner,com.piriform.ccleaner,DNS,Closed,sdk-api-v1.singular.net,138,0,2,0,2025-09-13T21:06:26.793-05:00,2025-09-13T21:06:29.677-05:00,
6,10.215.173.1,37188,172.253.63.188,5228,10255,Google Play services,com.google.android.gms,TCP,Error,mtalk.google.com,60,40,1,1,2025-09-13T21:06:26.820-05:00,2025-09-13T21:06:26.992-05:00,
6,10.215.173.1,59946,43.130.137.37,443,10359,APKPure,com.apkpure.aegon,HTTPS,Closed,report.apkpure.net,3358,7933,8,9,2025-09-13T21:06:26.836-05:00,2025-09-13T21:06:32.265-05:00,
17,10.215.173.1,7211,10.215.173.2,53,10359,APKPure,com.apkpure.aegon,DNS,Closed,tkda.mossru.com,61,152,1,1,2025-09-13T21:06:26.891-05:00,2025-09-13T21:06:27.008-05:00,
17,10.215.173.1,39841,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,android.apis.google.com,138,120,2,1,2025-09-13T21:06:26.957-05:00,2025-09-13T21:06:29.873-05:00,
17,10.215.173.1,48658,10.215.173.2,53,10327,Docs,com.google.android.apps.docs.editors.docs,DNS,Closed,notifications-pa.googleapis.com,154,344,2,1,2025-09-13T21:06:26.980-05:00,2025-09-13T21:06:30.013-05:00,
6,10.215.173.1,60120,47.236.51.89,9377,10359,APKPure,com.apkpure.aegon,TCP,Closed,tkda.mossru.com,60,88,1,2,2025-09-13T21:06:27.020-05:00,2025-09-13T21:07:27.460-05:00,
