IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,56844,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,124,118,2,1,2025-08-17T20:49:28.320-05:00,2025-08-17T20:49:31.266-05:00,
17,10.215.173.1,62768,10.215.173.2,53,10376,CCleaner,com.piriform.ccleaner,DNS,Closed,sdk-api-v1.singular.net,69,210,1,1,2025-08-17T20:49:28.324-05:00,2025-08-17T20:49:29.052-05:00,
6,10.215.173.1,41596,95.100.154.184,443,10376,CCleaner,com.piriform.ccleaner,HTTPS,Closed,sdk-api-v1.singular.net,1378,4580,8,8,2025-08-17T20:49:29.057-05:00,2025-08-17T20:50:34.696-05:00,
6,10.215.173.1,43744,74.125.131.188,5228,10255,Google Play services,com.google.android.gms,TLS,Error,mtalk.google.com,886,4120,7,5,2025-08-17T20:49:31.288-05:00,2025-08-17T20:49:32.548-05:00,
17,10.215.173.1,16147,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,crashlyticsreports-pa.googleapis.com,82,109,1,1,2025-08-17T20:49:38.836-05:00,2025-08-17T20:49:38.975-05:00,
17,10.215.173.1,63934,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,production.tile-api.com,69,246,1,1,2025-08-17T20:49:38.904-05:00,2025-08-17T20:49:39.120-05:00,
6,10.215.173.1,55454,216.58.211.3,443,10452,Tile,com.thetileapp.tile,HTTPS,Closed,crashlyticsreports-pa.googleapis.com,4257,6186,11,11,2025-08-17T20:49:38.984-05:00,2025-08-17T20:50:32.998-05:00,
6,10.215.173.1,43688,74.125.131.188,5228,10255,Google Play services,com.google.android.gms,TLS,Error,mtalk.google.com,826,4120,6,5,2025-08-17T20:49:39.078-05:00,2025-08-17T20:49:39.389-05:00,
6,10.215.173.1,42340,54.85.147.91,443,10452,Tile,com.thetileapp.tile,TLS,Closed,production.tile-api.com,3146,8255,21,23,2025-08-17T20:49:39.126-05:00,2025-08-17T20:50:32.884-05:00,
6,10.215.173.1,42354,54.85.147.91,443,10452,Tile,com.thetileapp.tile,TLS,Closed,production.tile-api.com,1313,5034,12,12,2025-08-17T20:49:39.135-05:00,2025-08-17T20:49:39.384-05:00,
17,10.215.173.1,11613,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,sdk.iad-06.braze.com,66,162,1,1,2025-08-17T20:49:39.150-05:00,2025-08-17T20:49:39.655-05:00,
17,10.215.173.1,16095,10.215.173.2,53,10699,File Manager,com.arshe.bussimulator3d,DNS,Closed,nrcapi.ssl2.duapps.com,68,166,1,1,2025-08-17T20:49:39.209-05:00,2025-08-17T20:49:39.655-05:00,
6,10.215.173.1,49844,172.67.174.165,443,10699,File Manager,com.arshe.bussimulator3d,HTTPS,Error,nrcapi.ssl2.duapps.com,807,1650,6,6,2025-08-17T20:49:39.660-05:00,2025-08-17T20:49:39.754-05:00,
6,10.215.173.1,33594,172.64.153.56,443,10452,Tile,com.thetileapp.tile,HTTPS,Closed,sdk.iad-06.braze.com,1785,3966,10,10,2025-08-17T20:49:39.662-05:00,2025-08-17T20:50:32.863-05:00,
