IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,44005,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2025-06-22T15:16:04.380-05:00,2025-06-22T15:16:04.414-05:00,
17,10.215.173.1,48501,10.215.173.2,53,10376,CCleaner,com.piriform.ccleaner,DNS,Closed,sdk-api-v1.singular.net,69,199,1,1,2025-06-22T15:16:04.382-05:00,2025-06-22T15:16:04.414-05:00,
6,10.215.173.1,38334,23.55.236.66,443,10376,CCleaner,com.piriform.ccleaner,HTTPS,Closed,sdk-api-v1.singular.net,1458,4629,10,10,2025-06-22T15:16:04.416-05:00,2025-06-22T15:16:04.660-05:00,
6,10.215.173.1,43114,142.250.152.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1317,7630,8,9,2025-06-22T15:16:04.420-05:00,2025-06-22T15:16:04.558-05:00,
17,10.215.173.1,16547,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,android.apis.google.com,69,109,1,1,2025-06-22T15:16:04.577-05:00,2025-06-22T15:16:04.590-05:00,
6,10.215.173.1,37694,172.217.1.110,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,android.apis.google.com,4106,4179,16,19,2025-06-22T15:16:04.613-05:00,2025-06-22T15:16:04.849-05:00,
6,10.215.173.1,43120,142.250.152.188,5228,10705,microG Services,app.revanced.android.gms,TLS,Closed,mtalk.google.com,1347,7970,17,17,2025-06-22T15:16:04.657-05:00,2025-06-22T15:16:09.168-05:00,
17,10.215.173.1,33824,10.215.173.2,53,10699,File Manager,com.arshe.bussimulator3d,DNS,Closed,pasta.esfile.duapps.com,69,157,1,1,2025-06-22T15:16:14.386-05:00,2025-06-22T15:16:14.425-05:00,
6,10.215.173.1,34796,104.21.31.18,80,10699,File Manager,com.arshe.bussimulator3d,HTTP,Closed,pasta.esfile.duapps.com,18421,1442,10,9,2025-06-22T15:16:14.432-05:00,2025-06-22T15:16:19.267-05:00,
17,10.215.173.1,53761,10.215.173.2,53,10699,File Manager,com.arshe.bussimulator3d,DNS,Closed,nrcapi.ssl2.duapps.com,68,155,1,1,2025-06-22T15:16:15.215-05:00,2025-06-22T15:16:15.247-05:00,
6,10.215.173.1,41674,104.21.31.18,443,10699,File Manager,com.arshe.bussimulator3d,HTTPS,Closed,nrcapi.ssl2.duapps.com,1425,4854,8,7,2025-06-22T15:16:15.271-05:00,2025-06-22T15:16:15.472-05:00,
17,10.215.173.1,48771,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,crashlyticsreports-pa.googleapis.com,82,98,1,1,2025-06-22T15:16:28.189-05:00,2025-06-22T15:16:28.225-05:00,
6,10.215.173.1,43820,142.251.32.3,443,10452,Tile,com.thetileapp.tile,HTTPS,Closed,crashlyticsreports-pa.googleapis.com,4136,6130,8,7,2025-06-22T15:16:28.228-05:00,2025-06-22T15:16:28.503-05:00,
17,10.215.173.1,65194,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,events-production.tile-api.com,76,197,1,1,2025-06-22T15:16:28.271-05:00,2025-06-22T15:16:28.301-05:00,
17,10.215.173.1,38853,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,production.tile-api.com,69,235,1,1,2025-06-22T15:16:28.284-05:00,2025-06-22T15:16:28.301-05:00,
6,10.215.173.1,46198,3.223.1.76,443,10452,Tile,com.thetileapp.tile,TLS,Closed,events-production.tile-api.com,3050,5574,12,13,2025-06-22T15:16:28.303-05:00,2025-06-22T15:16:28.532-05:00,
6,10.215.173.1,43470,54.175.9.103,443,10452,Tile,com.thetileapp.tile,TLS,Closed,production.tile-api.com,1273,5034,11,12,2025-06-22T15:16:28.307-05:00,2025-06-22T15:16:28.526-05:00,
6,10.215.173.1,43484,54.175.9.103,443,10452,Tile,com.thetileapp.tile,TLS,Closed,production.tile-api.com,2109,8366,14,18,2025-06-22T15:16:28.309-05:00,2025-06-22T15:16:28.583-05:00,
6,10.215.173.1,43486,54.175.9.103,443,10452,Tile,com.thetileapp.tile,TLS,Closed,production.tile-api.com,1233,4994,10,11,2025-06-22T15:16:28.346-05:00,2025-06-22T15:16:28.514-05:00,
17,10.215.173.1,45682,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,play-fe.googleapis.com,68,84,1,1,2025-06-22T15:16:28.433-05:00,2025-06-22T15:16:28.451-05:00,
17,10.215.173.1,47860,172.217.0.174,443,10256,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,12092,10199,20,21,2025-06-22T15:16:28.469-05:00,2025-06-22T15:16:29.558-05:00,
17,10.215.173.1,23955,10.215.173.2,53,10452,Tile,com.thetileapp.tile,DNS,Closed,sdk.iad-06.braze.com,66,151,1,1,2025-06-22T15:16:28.531-05:00,2025-06-22T15:16:28.561-05:00,
6,10.215.173.1,49646,172.64.153.56,443,10452,Tile,com.thetileapp.tile,HTTPS,Closed,sdk.iad-06.braze.com,1667,3802,7,6,2025-06-22T15:16:28.563-05:00,2025-06-22T15:16:28.860-05:00,
