IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
17,10.215.173.1,3474,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,voilatile-pa.googleapis.com,73,164,1,1,2025-07-28T05:47:52.870-05:00,2025-07-28T05:47:53.092-05:00,
17,10.215.173.1,10702,10.215.173.2,53,10255,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,118,1,1,2025-07-28T05:47:52.888-05:00,2025-07-28T05:47:53.074-05:00,
6,10.215.173.1,35290,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,753,3036,9,8,2025-07-28T05:47:52.893-05:00,2025-07-28T05:47:53.027-05:00,
6,10.215.173.1,35298,194.242.2.2,443,10414,InviZible Pro,pan.alexander.tordnscrypt.gp,HTTPS,Closed,dns.mullvad.net,1352,4963,14,15,2025-07-28T05:47:52.896-05:00,2025-07-28T05:47:53.554-05:00,
6,10.215.173.1,47416,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,826,4120,6,5,2025-07-28T05:47:53.089-05:00,2025-07-28T05:47:53.317-05:00,
6,10.215.173.1,47420,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,654,6872,6,6,2025-07-28T05:47:53.125-05:00,2025-07-28T05:48:53.792-05:00,
17,10.215.173.1,59630,10.215.173.2,53,10699,File Manager,com.arshe.bussimulator3d,DNS,Closed,pasta.esfile.duapps.com,69,168,1,1,2025-07-28T05:47:53.548-05:00,2025-07-28T05:47:53.559-05:00,
6,10.215.173.1,45724,172.67.174.165,80,10699,File Manager,com.arshe.bussimulator3d,HTTP,Closed,pasta.esfile.duapps.com,10931,788,9,6,2025-07-28T05:47:53.571-05:00,2025-07-28T05:48:53.794-05:00,
6,10.215.173.1,34114,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,826,4120,6,5,2025-07-28T05:47:58.866-05:00,2025-07-28T05:47:59.037-05:00,
6,10.215.173.1,34130,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,654,6874,6,6,2025-07-28T05:47:58.886-05:00,2025-07-28T05:49:03.817-05:00,
6,10.215.173.1,38212,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,826,4120,6,5,2025-07-28T05:48:11.064-05:00,2025-07-28T05:48:11.235-05:00,
6,10.215.173.1,38226,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,694,6914,7,7,2025-07-28T05:48:11.075-05:00,2025-07-28T05:49:13.845-05:00,
6,10.215.173.1,49360,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,826,4120,6,5,2025-07-28T05:48:35.275-05:00,2025-07-28T05:48:35.471-05:00,
6,10.215.173.1,49376,64.233.180.188,5228,10449,PCAPdroid mitm,com.pcapdroid.mitm,TLS,Closed,mtalk.google.com,734,6952,8,8,2025-07-28T05:48:35.296-05:00,2025-07-28T05:49:39.033-05:00,
6,10.215.173.1,43752,64.233.180.188,5228,10255,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,826,4120,6,5,2025-07-28T05:49:23.511-05:00,2025-07-28T05:49:23.739-05:00,
