timestamp_start,src_ip,src_port,dst_ip,dst_port,protocol,hostname,bytes_out,bytes_in
2025-09-13T21:06:32.589-05:00,10.215.173.1,53924,67.215.246.10,6881,BitTorrent,router.bittorrent.com,139,514
2025-09-13T21:06:32.595-05:00,10.215.173.1,53924,87.98.162.88,6881,BitTorrent,dht.transmissionbt.com,139,303
2025-09-13T21:06:32.601-05:00,10.215.173.1,53924,185.157.221.247,25401,BitTorrent,dht.libtorrent.org,139,184
2025-09-13T21:06:32.609-05:00,10.215.173.1,53924,212.129.33.59,6881,BitTorrent,dht.transmissionbt.com,139,0
2025-09-13T21:06:32.675-05:00,10.215.173.1,53924,186.80.54.41,10917,BitTorrent,,132,338
2025-09-13T21:06:32.680-05:00,10.215.173.1,53924,191.6.38.25,42660,BitTorrent,,132,0
2025-09-13T21:06:32.689-05:00,10.215.173.1,53924,186.250.211.192,47238,BitTorrent,,132,0
2025-09-13T21:06:32.693-05:00,10.215.173.1,53924,98.127.107.242,49304,BitTorrent,,132,338
2025-09-13T21:06:32.697-05:00,10.215.173.1,53924,89.169.48.41,17755,BitTorrent,,132,0
2025-09-13T21:06:32.795-05:00,10.215.173.1,53924,168.119.10.164,56881,BitTorrent,,132,338
2025-09-13T21:06:32.814-05:00,10.215.173.1,53924,46.110.208.151,38922,BitTorrent,,132,338
2025-09-13T21:06:32.828-05:00,10.215.173.1,53924,183.209.150.37,30734,BitTorrent,,132,338
2025-09-13T21:06:32.842-05:00,10.215.173.1,53924,46.246.122.83,21009,BitTorrent,,132,0
2025-09-13T21:06:32.944-05:00,10.215.173.1,53924,177.236.32.101,50070,BitTorrent,,132,345
2025-09-13T21:06:33.085-05:00,10.215.173.1,53924,148.251.83.214,53535,BitTorrent,,132,338
2025-09-13T21:06:33.132-05:00,10.215.173.1,53924,177.37.139.184,62842,BitTorrent,,132,0
2025-09-13T21:06:33.228-05:00,10.215.173.1,53924,102.176.101.17,38888,BitTorrent,,132,0
2025-09-13T21:06:33.603-05:00,10.215.173.1,53924,83.149.84.236,12588,BitTorrent,,132,338
2025-09-13T21:06:33.744-05:00,10.215.173.1,53924,120.233.34.172,6890,BitTorrent,,132,338
2025-09-13T21:06:37.624-05:00,10.215.173.1,53924,60.188.108.190,9781,BitTorrent,,264,676
2025-09-13T21:06:42.590-05:00,10.215.173.1,53924,183.128.87.238,63219,BitTorrent,,132,338
2025-09-13T21:06:47.593-05:00,10.215.173.1,53924,183.131.182.237,9911,BitTorrent,,132,0
2025-09-13T21:06:48.416-05:00,10.215.173.1,53924,75.157.188.75,11123,BitTorrent,,132,338
2025-09-13T21:06:48.422-05:00,10.215.173.1,53924,223.109.90.176,6888,BitTorrent,,132,338
2025-09-13T21:06:48.425-05:00,10.215.173.1,53924,185.149.91.39,51135,BitTorrent,,132,320
2025-09-13T21:06:48.430-05:00,10.215.173.1,53924,223.109.207.148,6886,BitTorrent,,132,338
2025-09-13T21:06:48.434-05:00,10.215.173.1,53924,185.203.56.40,63573,BitTorrent,,132,338
2025-09-13T21:06:48.444-05:00,10.215.173.1,53924,195.19.124.124,20622,BitTorrent,,132,334
2025-09-13T21:06:48.447-05:00,10.215.173.1,53924,75.157.144.81,54957,BitTorrent,,132,338
2025-09-13T21:06:48.452-05:00,10.215.173.1,53924,195.230.28.121,20850,BitTorrent,,132,0
2025-09-13T21:06:48.457-05:00,10.215.173.1,53924,43.130.72.193,60020,BitTorrent,,132,338
2025-09-13T21:06:48.461-05:00,10.215.173.1,53924,81.171.10.57,15163,BitTorrent,,132,338
2025-09-13T21:06:48.465-05:00,10.215.173.1,53924,188.163.71.162,2253,BitTorrent,,132,87
